item_id,status,created_at,sku,price,qty_ordered,grand_total,increment_id,category_name_1,sales_commission_code,discount_amount,payment_method,Working Date,BI Status, MV ,Year,Month,Customer Since,M-Y,FY,Customer ID
379040,complete,1/1/2017,Rajesh_Black Glue Gun,825,1,1185,100255234,Home & Living,\N,0,cod,1/1/2017,Net,825,2017,1,Jan-17,1-2017,FY17,30115
379041,complete,1/1/2017,RAJESH_RAJ223,360,1,1185,100255234,Home & Living,\N,0,cod,1/1/2017,Net,360,2017,1,Jan-17,1-2017,FY17,30115
379042,complete,1/1/2017,Adolphs_BF-4-M,799,1,799,100255235,Men's Fashion,\N,0,cod,1/1/2017,Net,799,2017,1,Jan-17,1-2017,FY17,30116
379044,complete,1/1/2017,BO_nonRC-Jeep-Red,250,1,599,100255236,Kids & Baby,\N,0,cod,1/1/2017,Net,250,2017,1,Nov-16,1-2017,FY17,15531
379045,complete,1/1/2017,BP_PS03940-Green,349,1,599,100255236,School & Education,\N,0,cod,1/1/2017,Net,349,2017,1,Nov-16,1-2017,FY17,15531
379046,complete,1/1/2017,Paramount_9789696371342,395,1,395,100255237,School & Education,\N,0,cod,1/1/2017,Net,395,2017,1,Jan-17,1-2017,FY17,30117
379047,complete,1/1/2017,Infinix-Hot-S-Grey,16899,1,15899,100255238,Mobiles & Tablets,HDD 105640,1000,Payaxis,1/1/2017,Net,"16,899",2017,1,Jan-17,1-2017,FY17,30118
379048,complete,1/1/2017,Wild_MicrotouchMaxTrimmer,550,1,920,100255239,Beauty & Grooming,\N,0,cod,1/1/2017,Net,550,2017,1,Jan-17,1-2017,FY17,30119
379049,complete,1/1/2017,Seven Star_SB-Cotton4,370,1,920,100255239,Home & Living,\N,0,cod,1/1/2017,Net,370,2017,1,Jan-17,1-2017,FY17,30119
379050,complete,1/1/2017,MYWALET_MW-060-BLACK,615,1,615,100255240,Men's Fashion,\N,0,cod,1/1/2017,Net,615,2017,1,Nov-16,1-2017,FY17,18074
379051,complete,1/1/2017,vitamin_Ultra Whey Protein,1500,1,1500,100255241,Health & Sports,\N,0,cod,1/1/2017,Net,"1,500",2017,1,Jul-16,1-2017,FY17,36
379052,order_refunded,1/1/2017,KureshiC_047-kemei,1099,1,1099,100255242,Beauty & Grooming,\N,0,cod,1/1/2017,Valid,"1,099",2017,1,Nov-16,1-2017,FY17,15442
379053,complete,1/1/2017,tucano_Plus Glass Protector for iPhone 6s  IPH65-SP-TG,645,1,645,100255243,Mobiles & Tablets,\N,0,cod,1/1/2017,Net,645,2017,1,Jul-16,1-2017,FY17,463
379054,complete,1/1/2017,aybeez_ABZ-1047-L,299,1,299,100255244,Men's Fashion,\N,0,cod,1/1/2017,Net,299,2017,1,Jan-17,1-2017,FY17,30120
